iter	Logloss
0	0.6024328709
1	0.5379106998
2	0.4618800163
3	0.4284911156
4	0.3899792194
5	0.3635940075
6	0.3247286797
7	0.2953181028
8	0.2632458448
9	0.2459629059
10	0.2266055822
11	0.2082305431
12	0.1879514337
13	0.1765680313
14	0.163412416
15	0.1568917751
16	0.1499370575
17	0.1388042569
18	0.1354580164
19	0.1249862432
20	0.116905272
21	0.1109627366
22	0.1044198513
23	0.1021743298
24	0.09750238657
25	0.09019598961
26	0.08508892059
27	0.08183791637
28	0.07759535909
29	0.07481897473
30	0.07267377973
31	0.06769758463
32	0.0647023201
33	0.06327924728
34	0.05834443569
35	0.05605256557
36	0.05414029956
37	0.05149539709
38	0.04785767794
39	0.04519883096
40	0.04498745203
41	0.04270386398
42	0.04135448337
43	0.03971932232
44	0.03757174015
45	0.03661502898
46	0.03627392054
47	0.03410369754
48	0.03358372748
49	0.03203132749
