file_hash,file_size,entropy,strings_count,lib_crypto,lib_ssl,is_stripped,num_sections,num_segments,label
79e8c19ce722bdaf887146aa6c1176e6,2685767,7.67072864,282,1,1,1,5,4,1
df1376e5dd221d7a082adaed9f6be554,1760125,7.088473999,5,1,0,1,25,6,1
21b5a2405fcda908904a0cc091b5f43b,1562771,7.99,63,0,1,1,25,4,1
8250dca2810962bf74b71d850ea54ce9,541537,5.71726307,251,0,0,0,29,9,0
1ef6612ff44ab7c8581ffacffced09d1,419923,5.899790096,1226,0,0,0,23,7,0
6854433f187b6618cf99de673a0fd87c,427621,5.444328142,1187,0,0,0,26,8,0
32a4ed95569fe47de2552aa445aa3554,674464,5.646673605,3196,0,0,0,25,6,0
64a3bbd217ced3b57ac950edd00e8919,698019,7.762438818,117,0,1,1,5,5,1
209a915e90b20f98fdb2c98c4f417d38,664412,7.017434386,684,0,1,0,26,8,0
e15e136ceadcdcd4b006abd8c5bca350,599342,5.389388559,1325,0,0,1,37,11,0
2b6b8fa4446bff4de46f7374f5564d0e,609419,5.338245878,700,0,0,1,35,10,0
feead8f3d6503302e1481d5673d33b10,600183,4.717955804,899,0,0,0,33,6,0
bd8db4d221625af7303ef5d0d6184a78,4080954,7.168849972,76,1,1,1,30,3,1
fe28926d27e92f945de697b41f6a0603,678482,5.576496357,382,0,0,0,31,9,0
74d1cc2d5c77595c0d4ad361dd05ac0e,1850734,7.884347741,58,1,0,1,25,5,1
e12b6bfedbc62d3b3fa98da783d94207,572279,6.730429253,810,0,0,0,37,8,0
f70bfd9a61724ed4828577792035b605,4992999,7.598178727,387,1,0,1,5,5,1
64f7c97d1bec91c2abac0b0093211ba3,2620225,7.383345608,30,1,0,1,5,7,1
a30a1fec411645325f9d61345f2a30ef,224466,4.749739968,1211,1,0,1,32,9,0
edd22140c3799e7b3f790f224247ba0a,470289,5.17403189,502,0,0,0,33,4,0
ad14fc95e5203ea0839dc82a32424572,843586,7.474323964,7,1,1,1,25,4,1
dcdb07d1d35d68be5b8552d5e2836641,2514688,7.364530506,253,1,0,1,25,5,1
b8e67d3c1654a9222dd281171d12c360,573319,4.748096171,543,0,0,0,24,6,0
9bd5aa645c7c1ff63463a0db4acf1d73,705831,5.878077986,1009,0,0,1,34,4,0
7ebf43492c7a4f9777c9e0db575a129e,1389961,7.99,212,1,1,1,5,5,1
0f5ab2ed03e5c4fee4ed8ba2df2e893c,575459,6.821080789,236,0,0,0,39,7,0
9a54b954210e1feec9faf83616f894ec,283787,5.992748486,1277,0,0,0,28,8,0
f62a3f55d185dc4de5fa085770cd06c5,1546671,7.636801095,18,1,1,1,25,6,1
eefd99c19aa26c37ae730e6e75631066,623528,6.473656638,988,0,0,0,34,8,0
539606b38dfd0cb470de7a3088bd7ffb,1130197,7.573515385,352,1,1,1,5,7,1
a6b5299e77db2c6387f28b877679a1b2,475173,6.092272654,574,0,0,0,33,9,0
b4dced39c0dd0d63c71ca21767c50da8,790676,6.763657717,539,0,0,0,24,6,0
b3cb75209464b98a1a89e26527441e1f,3474262,7.446564833,210,1,1,0,4,4,1
0b0f3189f803b25a5dea8efc47cc32ca,348729,4.362197032,481,0,0,1,24,7,0
4042cf9d07e255b1437c537489b74961,4533305,7.205872656,118,0,0,1,25,3,1
2aeec632ada93df6f3e8738271adc42c,600289,6.426549322,1010,0,0,1,31,7,0
30b99fa1865fedf69e5975920bff3c5b,2247619,7.702180006,107,1,1,1,5,6,1
